ба/гьараб,"(вагьарав I, йагьарай, рагьара мн. I, II)",острый
ба/гьараб,"(вагьарав I, йагьарай, рагьара мн. I, II)",смышленый
б/атIи-б/атIийа/б,,разный
б/атIи-б/атIийа/б,,странный
б/аххвамугуба,"(и мн. I, руххамугуба мн. II)",остальные
б/евукъалибу,"(вовукъалибу I, йевукъалибу II, ревукъалибу мн. I, II)",высушенный
б/екъукъалибу,"(вовукъалибу I, йевукъалибу II, ревукъалибу мн. I, II)",высушенный
б/еучатабу,"(воучатабу I, йеучатабу II, реучатабу мн. I, II)",забывчивый
б/еща/б,"(и мн. I, вощав I, йещай II, рещар мн. II)",прочный
б/еща/б,"(и мн. I, вощав I, йещай II, рещар мн. II)",крепкий_(о_жидкостях)
б/еща/б,"(и мн. I, вощав I, йещай II, рещар мн. II)",сильный_(по_степени_проявления)
б/иххи/б/ичабу,"(и мн. I, вуххивучабу I, йиххийичабу II, риххиричабу мн. II)",растерянный
б/иххибукабу,"(вуххивукабу I, йиххийиквабу II, биххибаквабу мн. I, риххирукабу мн. II)",радостный
б/иххибукабу,"(вуххивукабу I, йиххийиквабу II, биххибаквабу мн. I, риххирукабу мн. II)",счастливый
б/иши/б/икки,"(и мн. I, вушивукки I, йишийикки II, риширикки мн. II)",толстоватый
б/уккатабу,"(вуккатабу I, йиккватабу II, баккватабу мн. I, руккатабу мн. II)",причитающийся
б/уккатабу,"(вуккатабу I, йиккватабу II, баккватабу мн. I, руккатабу мн. II)",подходящий
б/укIилIибу,"(вукIилIибу I, йикIулIибу II, бакIулIибу мн. I, рукIилIибу мн. II)",будущий
б/уххаму,"(вуххаму I, йуххаму II, баххваму мн. I, руххаму мн. II)",остальной
в/угъаму,"(йугъаму II, бигъваму мн. I)",угрюмый
гьардараб,"(гьардаров I, гьардарей II, гьардарал мн. I, II)",завидный
гIолохъана/б,"(-в//-о I, -й//-е II, -б//-л мн. I, -л мн. II)",молодой
дарман: дарман тIагIаᵸ,,в_отчаянии
жийда-инлълъитта: жийда-инлълъитта йоаму,,самонадеянная
к'апурда: к'апурда бичIабу,,дохлый
к'апурда: к'апурда бичIабу,,сдохший
кьварар/аб,"(-ов I, -ей II, -ал мн. II)",смелый
кьварар/аб,"(-ов I, -ей II, -ал мн. II)",отважный
ссевавутIибу,"(ссейайитIибу II, ссебабитIибу мн. I, ссераритIибу мн. II)",авторитетный
ссевавутIибу,"(ссейайитIибу II, ссебабитIибу мн. I, ссераритIибу мн. II)",передовой
тIибу: тIибу бецIалибу,,набитый
цебда-цеб,"(и мн. I, цевда-цев I, цейда-цей II, церда-цер мн. II)",единственный
цIакъа/б/губа,,лучший
чара ивучIибу,,необходимый
