б/аир,['-алIи'],приход
б/алълъинлъир,['-алIи'],сходство
б/атIалъи,"['-лIи', 'тк. ед.']",разница
б/ахарлъи,['-лIи'],старость
б/езиᵸр,"['-алIи', 'р- мн.']",мытье
б/екъинлъи,"['и мн. I', 'вокъинлъи I', 'йекъинлъи II', 'рекъинлъи мн. II']",равенство
б/елIир,"['и мн. I', 'волIир I', 'йелIир II', 'релIир мн. II']",походка
б/еххилалъир,['-алIи'],длина
б/ехъур,['-алIи'],убой_(скота_на_зиму)
б/ецIир,['-алIи'],сытость
б/ецIибудаᵸйи,"['-лIи', '-бе огр. мн. ч.']",колбасные_изделия
б/ечIер,"['и мн. I', 'вочIер I', 'йечIер II', 'речIер мн. II']",траур
б/ичIир,"['-алIи', '-бе; вучIир I', 'йичIир II', 'бичIир мн. I', 'ричIир мн. II']",смерть
б/ишилъир,"['-алIи; вушилъир I', 'йишилъир II', 'бишилъир мн. I', 'ришилъир мн. II']",толщина
б/угъ/а,"['-алIи', '-ибе']",бык-производитель
б/угъ/а,"['-алIи', '-ибе']",молодец
б/укъакъир,['-алIи'],нарезание
б/укIир,['-алIи'],наличие
в/екерухъан,"['-ащуб', '-алълъилIи', 'рекерухабе мн. I', 'II']",бегун
в/ичарухъан,"['-ащуб', 'бичарухъаме мн. I']",продавец
в/окъин,"['-ащуб; бекъин III и мн. I', 'рекъин мн. II']",ровесник
в/оццидатабу,"['йеццидатабу II', 'реццидатабу мн. I', 'II; -щуб', '-лълъилIи']",хвастун
гьинуссебассу,['гьинуссерассу мн. II'],внутренности
гьинуссебассу,['гьинуссерассу мн. II'],кишечник
р/елъиккир,"['волъиккир I', 'йелъиккир II', 'белъиккир мн. I', '-алIи']",смех
цебехъан,"['цевехъанащуб I', 'цейехъаналълъилIи II', 'цебехъаналълъилIи III', 'церехъаме']",предводитель
цебехъан,"['цевехъанащуб I', 'цейехъаналълъилIи II', 'цебехъаналълъилIи III', 'церехъаме']",вожак
