sentence_id,word,cyrillic,cyrillic_saidova,gloss,my_gloss,id,error
0,w=oč'uXa,в=очIуха,в=очIуха,M=old,<m>>вочIуха<ADJ>,67652,
0,adami-Li,адами-лIи,адами-лIи,man-GEN,адами<NOUN>><gen>,66881,
0,Xabar,хабар,ххабар,tale,ххабар<NOUN>,73062,orph
0,s̄e=b=a,ссе=б=а,ссе=б=а,before=HPL,,,
0,ba=k'.a-bu,ба=кIва-бу,ба=кIва-бу,HPL=be.PST-PART,,,
0,adami-k-e:-Li,адами-к-е̄-лIи,адами-к-е̄-лIи,man-PL-OBLPL-INTER,адами<NOUN>><pl>><obl>><inter>,66881,
0,L'ant'i-łir-a-Li,кьантIилъир-а-лIи,кьантIилъир-а-лIи,brave-MASD-OBL-GEN,кьантIилъир<NOUN>><obl>><gen>,70737,
0,raq-alda-ruXu,рахъ-алда-руху,рахъ-алда-руху,side-PLACE-TRANS,рахъи<NOUN>><place>><trans>,72088,morph
1,bešenu-da,бешену-да,бешену-да,hundred-CARD,бешену<NUM>><card>,,
1,ł̄ik̄urula,лълъиккурула,лълъиккурула,over,,,
1,reši,реши,реши,year,реши<NOUN>,72202,
1,s̄e=b=a,ссе=б=а,ссе=б=а,before=HPL,,,
1,iL-i-č'u,илI-и-чIу,илI-и-чIу,we.INCL-OBL-CONT,илIе<PRON>><obl>><cont>,,
1,han-Li-ru,гьан-лIи-ру,гьан-лIи-ру,village-INTER-EL,гьани<NOUN>><inter>><elat>,68773,morph
1,Ridu-ru,гъиду-ру,гъиду-ру,Godoberi-EL,гъиду<NOUN>><el>,68568,abs
1,ma=n-ida,ма=н-ида,ма=н-ида,HPL=go-HAB,,,
1,ba=k'.-a-da,ба=кIв-а-да,ба=кIв-а-да,HPL=be.PST-CONV-COP,,,
1,čabqad,чабхъад,чабхъад,pillage,чабхъад<NOUN>,73758,abs
1,gurži,гуржи,гуржи,Georgia,гуржи<NOUN>,68406,abs
2,ho=b,гьо=б,гьо=б,that=N,гьо<PRON>><n>,,
2,zamana-Li,замана-лIи,замана-лIи,time-INTER,замана<NOUN>><inter>,69643,
2,suRraLi,сугъралIи,сугъралIи,Sogratl,сугъралIи<NOUN>,,abs
2,han-Li-s̄u,гьан-лIи-ссу,гьан-лIи-ссу,village-INTER-ATTR,гьани<NOUN>><inter>><attr>,68773,"morph, part"
2,adami,адами,адами,man,адами<NOUN>,66881,
2,wu=k'-a-da,ву=кI-а-да,ву=кI-а-да,M=be.PST-CONV-COP,,,
2,gurži,гуржи,гуржи,Georgia,гуржи<NOUN>,68406,abs
2,ma=n-aLa-bu-rdu,ма=н-алIа-бу-рду,ма=н-алIа-бу-рду,HPL=go-PRS-PART-OBL.HPL.GEN,,,
2,wani,вани,вани,leader,вани<NOUN>,68247,
3,ho-š̄-ti,гьо-щ-ти,гьо-щ-ти,he-OBL.M-ERG,гьо<PRON>><obl><m>><erg>,,
3,adami-ke-la,адами-ке-ла,адами-ке-ла,man-PL-AND,адами<NOUN>><pl>><and>,66881,
3,b=aš-al-u,б=аш-ал-у,б=аш-ал-у,HPL=be.gathered-CAUS-CONV,,,
3,hani-be-qi-ru,гьани-бе-хъи-ру,гьани-бе-хъи-ру,village-PL-AD-EL,гьани<NOUN>><pl>><ad>><elat>,68773,
3,ma=n-ida,ма=н-ида,ма=н-ида,HPL=go-HAB,,,
3,gurži,гуржи,гуржи,Georgia,гуржи<NOUN>,68406,abs
3,dãj,даᵸй,даᵸй,thing,даᵸйи<NOUN>,69423,apoc
3,b=uX-i,б=ух-и,б=ух-и,N=take.away-INF,,,
3,adami-ke,адами-ке,адами-ке,man-PL,адами<NOUN>><pl>,66881,
3,qam-i,хъам-и,хъам-и,abduct-INF,,,
3,adami-ke,адами-ке,адами-ке,man-PL,адами<NOUN>><pl>,66881,
3,raq'adara,ракъадара,ракъадара,back,,,
3,b=erš-ida,б=ерш-ида,б=ерш-ида,HPL=trade-HAB,,,
3,ba=k'.-a-da,ба=кIв-а-да,ба=кIв-а-да,HPL=be.PST-CONV-COP,,,
3,beče-łir-a-łi-qi,бечелъир-а-лъи-хъи,бечелъир-а-лъи-хъи,rich-MASD-OBL-DAT-AD,бечелъир<NOUN>><obl>><dat>><ad>,67621,morph
3,arsi-qi,арси-хъи,арси-хъи,money-AD,арси<NOUN>><ad>,66990,
3,misidi-qi,мисиди-хъи,мисиди-хъи,gold-AD,мисиди<NOUN>><ad>,71464,
3,purca-qi,пурц-а-хъи,пурцц-а-хъи,cattle-AD,пурцци<NOUN>><obl>><ad>,71977,orph
4,ho=b,гьо=б,гьо=б,that=N,гьо<PRON>><n>,,
4,zamana-Li,замана-лIи,замана-лIи,time-INTER,замана<NOUN>><inter>,69643,
4,ho-rdu-łi,гьо-рду-лъи,гьо-рду-лъи,he-OBL.HPL-DAT,гьо<PRON>><obl><h><pl>><dat>,,
4,sanu,сану,сану,together,,,
4,čabqad,чабхъад,чабхъад,on.pillage,чабхъад<NOUN>,73758,abs
4,ma=n-aL-a-wq'aLi,ма=н-алI-а-вкъалIи,ма=н-алI-а-вкъалIи,HPL=go-PRS-CONV-WHEN,,,
4,sanu,сану,сану,together,,,
4,wu=k'-a-da,ву=кI-а-да,ву=кI-а-да,M=be.PST-CONV-COP,,,
4,RebdiLi,гъебдилIи,гъибдилIи,Godoberian,гъибдилIи<NOUN>,68569,orph
4,ʕalik'ya-L'u,гIаликI'а-кьу,гIаликI'а-кьу,Alikja-CIT,гIаликI'а<NOUN>><cit>,,"abs, part"
4,hiL'-ata-bu,гьикь-ата-бу,гьикь-ата-бу,name-PRS-PART,,,
4,adami,адами,адами,man,адами<NOUN>,66881,
5,ʕalik'ya,гIаликI'а,гIаликI'а,Alikja,гIаликI'а<NOUN>,,abs
